jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,metadata_source
JVASP-5,TiO2,136,P4_2/mnm,3D,"202240,202241,167953,167954,167955,167956,167957,167958,167959,167960,167961,167962,167963,167964,31322,165920,165921,165922,165923,165924,165925,33837,33838,88623,88624,88625,33842,33843,33844,33845,33846,36412,36413,36414,36415,34372,31321,66650,31323,31324,31325,31326,31327,31328,31329,31330,161909,23697,169622,169623,169624,169625,169626,169627,169628,169629,169630,169631,169632,169633,169634,169635,169636,169637,169638,169639,169640,169641,159915,167965,200391,168140,168138,24780,69331,62677,62678,62679,51930,51931,51932,51933,51934,51935,82656,51937,51938,51939,51940,51941,24294,53997,16636,39166,24277,39168,39169,39170,39171,39172,33839,33840,74532,33841,88626,88627,63710,51936,82657,44881,53601,53602,51050,76172,109469,93097,9161,64987,85492,85493,85494,85495,39167,97277",mp-2657,48,JARVIS-DFT dft_3d/dft_2d
JVASP-8,Te2Mo,31,Pmn2_1,3D,,,112,JARVIS-DFT dft_3d/dft_2d
JVASP-21,PbSe,225,Fm-3m,3D,"38294,600599,657561,600730,53933,600252,648512,648513,648515,648516,648517,648518,648519,648520,648521,648522,648524,648525,648527,648528,76644,603893,63096,63097",mp-2201,16,JARVIS-DFT dft_3d/dft_2d
JVASP-23,CdTe,216,F-43m,3D,"620529,659206,659219,161692,161693,658983,604599,43712,602945,180935,620535,108238,93944,620537,620516,165086,620511,620512,620513,620514,620515,31844,620517,620519,52840,603115,181732,620527,620520,620530,620531,620533,93942,93943,620536,93945,620538,620540,620542",mp-406,20,JARVIS-DFT dft_3d/dft_2d
JVASP-44,FeSe,129,P4/nmm,3D,,mp-20311,40,POSCAR+spglib
JVASP-48,C,194,P6_3/mmc,3D,"31170,617290,53781,52230,76767",mp-48,32,JARVIS-DFT dft_3d/dft_2d
JVASP-51,MoS2,160,R3m,3D,"38401,644257,43560,43695,40081,76370",mp-1434,24,JARVIS-DFT dft_3d/dft_2d
JVASP-54,MoS2,194,P6_3/mmc,3D,"24000,105091,49801,601647,95569,95570,84180,644245,31067",mp-2815,48,JARVIS-DFT dft_3d/dft_2d
JVASP-57,MoSe2,194,P6_3/mmc,3D,"49800,601045,644334,167357",mp-1634,56,JARVIS-DFT dft_3d/dft_2d
JVASP-72,WS2,194,P6_3/mmc,3D,"56014,84181,202366",mp-224,48,JARVIS-DFT dft_3d/dft_2d
JVASP-81,GaSe,194,P6_3/mmc,3D,"63122,43540,41978",mp-1943,64,JARVIS-DFT dft_3d/dft_2d
JVASP-82,ZrS2,164,P-3m1,3D,"76037,651465,56012,601166,604434,182675,651478,651482,602309",mp-1186,24,JARVIS-DFT dft_3d/dft_2d
JVASP-89,Bi2Te3,166,R-3m,3D,,mp-34202,40,POSCAR+spglib
JVASP-128,PtSe2,164,P-3m1,3D,"41389,649589,649593,649594,603677,41374",mp-1115,28,JARVIS-DFT dft_3d/dft_2d
JVASP-131,SnS2,164,P-3m1,3D,"100610,100611,100612,651013,42566,659217,602283,651010,651022,650992,650993,29012,650999,650996,656779,43004",mp-1170,20,JARVIS-DFT dft_3d/dft_2d
JVASP-143,GaS,194,P6_3/mmc,3D,"201344,201345,167394,53586,53587,53588,53589,53590,173940,59,25660,654685,173941",mp-2507,56,JARVIS-DFT dft_3d/dft_2d
JVASP-207,GeS,63,Cmcm,3D,155418,mp-12910,28,JARVIS-DFT dft_3d/dft_2d
JVASP-210,HfS2,164,P-3m1,3D,,mp-985829,24,JARVIS-DFT dft_3d/dft_2d
JVASP-216,HfSe2,164,P-3m1,3D,,mp-985831,28,JARVIS-DFT dft_3d/dft_2d
JVASP-234,NiO2,5,C2,3D,,,48,JARVIS-DFT dft_3d/dft_2d
JVASP-252,PbO,129,P4/nmm,3D,"62848,62849,26596,53927,600296,647260,64778,94333,62847,99776,15466,62840,62841,62842,62843,62844,62845,62846,64799",mp-19921,28,JARVIS-DFT dft_3d/dft_2d
JVASP-260,PbS,139,I4/mmm,3D,68701,mp-20526,28,JARVIS-DFT dft_3d/dft_2d
