icsd,formula,space_group_number,space_group_symbol,point_group,material_id,curated_flatband,best_flatband,atomic_flatband,high_quality,topology_soc,topology_nosoc,superconductor,nonzero_magnetisation,theory_entry,n_electrons,structure_type,a,b,c,alpha,beta,gamma,n_kagome,n_pyrochlore,n_lieb,n_bipartite,n_split,materials_project,cif_file,cif_symmetry_ops
16,Cu1 N6 O12 Pb1 Tl2,202,Fm-3,<i>m</i>-3,16,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,123,K2PbCu(NO2)6,10.7344,10.7344,10.7344,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/16,cif/16.cif,96
19,C1 H4 Na4 O9 P2,81,P-4,-4,19,0,0,1,0,Trivial,Trivial,0,0,0,152,,8.489,8.489,6.468,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/19,cif/19.cif,4
24,Cl5 Cs3 Mn1,140,I4/mcm,4/<i>mmm</i>,24,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,138,Cs3CoCl5,9.21,9.21,14.97,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/24,cif/24.cif,32
31,Cl10 Cs3 O1 Re2,139,I4/mmm,4/<i>mmm</i>,31,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,117,Cs3Re2Cl10O,7.393,7.393,17.51,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/31,cif/31.cif,32
58,Li2 O4 S1,14,P21/c,2/<i>m</i>,58,1,0,0,1,Trivial,Trivial,0,0,0,128,Li2SO4,8.239,4.954,8.474,90,107.98,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/58,cif/58.cif,4
103,H12 Cu1 N2 O6 Sn1,2,P-1,-1,103,0,0,1,0,ESFD (SM),ESFD (SM),0,1,0,73,,5.643,6.621,4.885,91.83,93.58,107.69,0,0,0,0,0,https://materialsproject.org/materials/icsd/103,cif/103.cif,2
175,Ba1 Ni1 O3,194,P63/mmc,6/<i>mmm</i>,175,1,0,0,0,Trivial,Trivial,0,0,0,76,BaNiO3,5.629,5.629,4.811,90,90,120,0,0,0,2,0,https://materialsproject.org/materials/icsd/175,cif/175.cif,24
179,K2 N6 Ni1 O12 Sr1,202,Fm-3,<i>m</i>-3,179,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,140,K2PbCu(NO2)6,10.5063,10.5063,10.5063,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/179,cif/179.cif,96
266,Hg1 K6 S4,186,P63mc,6<i>mm</i>,266,1,0,0,1,Trivial,Trivial,0,1,0,180,K6HgS4,9.987,9.987,7.649,90,90,120,0,0,0,1,0,https://materialsproject.org/materials/icsd/266,cif/266.cif,12
292,H1 Ca2 N1,227,Fd-3m,<i>m</i>-3<i>m</i>,292,1,1,0,0,Trivial,Trivial,0,0,0,40,Ca2HN,10.13,10.13,10.13,90,90,90,2,2,0,0,0,https://materialsproject.org/materials/icsd/292,cif/292.cif,192
372,Cu1 N6 O12 Pb1 Rb2,69,Fmmm,<i>mmm</i>,372,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,135,K2SrCu2(NO2)6,10.8296,10.8196,10.6113,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/372,cif/372.cif,32
393,Mn1 O2,136,P42/mnm,4/<i>mmm</i>,393,1,1,0,1,ESFD (SM),ESFD (SM),0,0,0,38,Rutile-TiO2,4.3983,4.3983,2.873,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/393,cif/393.cif,16
406,Ca1 Co2 Ge2,139,I4/mmm,4/<i>mmm</i>,406,1,0,0,0,SEBR (TI),ES (SM),0,0,0,28,ThCr2Si2,4,4,10.33,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/406,cif/406.cif,32
498,Cu1 O3 Se1,62,Pnma,<i>mmm</i>,498,1,0,0,1,ES (SM),ESFD (SM),0,0,0,140,MgSeO3,5.9652,7.3265,5.2828,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/498,cif/498.cif,8
604,Cl6 K2 Sn1,225,Fm-3m,<i>m</i>-3<i>m</i>,604,1,1,0,1,Trivial,Trivial,0,0,0,64,K2PtCl6,9.99,9.99,9.99,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/604,cif/604.cif,192
605,H8 Cl6 N2 Sn1,225,Fm-3m,<i>m</i>-3<i>m</i>,605,1,1,0,1,Trivial,Trivial,0,0,0,64,K2PtCl6,10.038,10.038,10.038,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/605,cif/605.cif,192
628,O9 P2 Si1 V1,130,P4/ncc,4/<i>mmm</i>,628,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,292,,8.723,8.723,8.151,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/628,cif/628.cif,16
645,As1 Na3 S3,198,P213,23,645,1,0,0,1,Trivial,Trivial,0,1,0,104,Na3AsS3,8.566,8.566,8.566,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/645,cif/645.cif,12
804,C6 Cr1 Cs2 Li1 N6,128,P4/mnc,4/<i>mmm</i>,804,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,158,,7.6,7.6,10.777,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/804,cif/804.cif,16
805,C6 H18 Co1 Cr1 N12,148,R-3,-3,805,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,117,Co(NH3)6Cr(H2O)6,11.122,11.122,10.864,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/805,cif/805.cif,18
806,C6 H18 Co1 Cr1 N12,148,R-3,-3,805,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,117,Co(NH3)6Cr(H2O)6,11.148,11.148,10.919,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/806,cif/806.cif,18
