material_id,formula,space_group_number,space_group_symbol,topology_soc,high_quality,superconductor,nonzero_magnetisation,is_best_flatband,is_curated_flatband,is_atomic_flatband,n_icsd,icsd_ids,n_icsd_with_cif,materials_project
19,C1 H4 Na4 O9 P2,81,P-4,Trivial,0,0,0,0,0,1,1,19,1,https://materialsproject.org/materials/icsd/19
24,Cl5 Cs3 Mn1,140,I4/mcm,ESFD (SM),1,0,0,0,0,1,1,24,1,https://materialsproject.org/materials/icsd/24
31,Cl10 Cs3 O1 Re2,139,I4/mmm,ESFD (SM),1,0,0,0,0,1,1,31,1,https://materialsproject.org/materials/icsd/31
103,H12 Cu1 N2 O6 Sn1,2,P-1,ESFD (SM),0,0,1,0,0,1,1,103,1,https://materialsproject.org/materials/icsd/103
628,O9 P2 Si1 V1,130,P4/ncc,ESFD (SM),0,0,0,0,0,1,1,628,1,https://materialsproject.org/materials/icsd/628
804,C6 Cr1 Cs2 Li1 N6,128,P4/mnc,ESFD (SM),0,0,0,0,0,1,1,804,1,https://materialsproject.org/materials/icsd/804
805,C6 H18 Co1 Cr1 N12,148,R-3,ESFD (SM),0,0,0,0,0,1,2,805 806,2,https://materialsproject.org/materials/icsd/805
849,Cs2 O13 V5,107,I4mm,ESFD (SM),1,0,1,0,0,1,1,849,1,https://materialsproject.org/materials/icsd/849
852,C4 Br2 N4 Pt1 Rb2,14,P21/c,Trivial,1,0,0,0,0,1,1,852,1,https://materialsproject.org/materials/icsd/852
889,C20 Cl2 In2 Mn4 O20,2,P-1,Trivial,0,0,0,0,0,1,1,889,1,https://materialsproject.org/materials/icsd/889
918,H1 Ca1 O4 P1,1,P1,Trivial,1,0,0,0,0,1,3,918 10504 87196,3,https://materialsproject.org/materials/icsd/918
1000,C6 Cs2 Fe1 Li1 N6,225,Fm-3m,ESFD (SM),1,0,0,0,0,1,6,1000 1001 10179 60540 60541 60542,6,https://materialsproject.org/materials/icsd/1000
1010,Cl4 Nb1,12,C2/m,Trivial,1,0,0,0,0,1,1,1010,1,https://materialsproject.org/materials/icsd/1010
1084,C2 N2 S3,62,Pnma,Trivial,0,0,0,0,0,1,2,1084 25505,2,https://materialsproject.org/materials/icsd/1084
1108,Na2 O4 Te1,60,Pbcn,Trivial,0,0,0,0,0,1,1,1108,1,https://materialsproject.org/materials/icsd/1108
1117,Cl1 Na1 O3,198,P213,Trivial,0,0,1,0,0,1,14,1117 1301 16714 22395 26684 28830 31121 31167 31168 80337 80338 80339 80340 80341,14,https://materialsproject.org/materials/icsd/1117
1135,H6 Li1 N1 O6,63,Cmcm,Trivial,0,0,0,0,0,1,5,1135 23109 23110 48039 48040,5,https://materialsproject.org/materials/icsd/1135
1140,H12 Ca1 Cl2 O6,150,P321,Trivial,0,0,1,0,0,1,2,1140 59142,2,https://materialsproject.org/materials/icsd/1140
1141,H12 Br2 Ca1 O6,150,P321,Trivial,0,0,1,0,0,1,1,1141,1,https://materialsproject.org/materials/icsd/1141
1194,C1 B1 F6 K1,14,P21/c,Trivial,0,0,0,0,0,1,1,1194,1,https://materialsproject.org/materials/icsd/1194
1263,K2 S3,36,Cmc21,Trivial,1,0,1,0,0,1,1,1263,1,https://materialsproject.org/materials/icsd/1263
1264,K2 Se3,36,Cmc21,Trivial,1,0,1,0,0,1,1,1264,1,https://materialsproject.org/materials/icsd/1264
1302,Br1 Na1 O3,198,P213,Trivial,1,0,1,0,0,1,6,1302 22396 28831 30208 31166 47174,6,https://materialsproject.org/materials/icsd/1302
1303,Ca1 Cu3 Ge4 O12,204,Im-3,ESFD (SM),0,0,0,0,0,1,2,1303 184279,2,https://materialsproject.org/materials/icsd/1303
1309,H12 F8 O6 Zr2,2,P-1,Trivial,0,0,1,0,0,1,1,1309,1,https://materialsproject.org/materials/icsd/1309
1321,H6 Cl1 Li1 O7,186,P63mc,Trivial,1,0,0,0,0,1,5,1321 1913 1914 27730 32534,5,https://materialsproject.org/materials/icsd/1321
1384,F1 Li1 O3 S1,12,C2/m,Trivial,1,0,0,0,0,1,1,1384,1,https://materialsproject.org/materials/icsd/1384
1528,F6 K2 Re1,164,P-3m1,ESFD (SM),1,0,0,0,0,1,1,1528,1,https://materialsproject.org/materials/icsd/1528
1602,H11 Na2 O8 P1,31,Pmn21,Trivial,0,0,0,0,0,1,2,1602 16138,2,https://materialsproject.org/materials/icsd/1602
1640,H12 Cl2 Hg1 O14,164,P-3m1,Trivial,1,0,0,0,0,1,1,1640,1,https://materialsproject.org/materials/icsd/1640
1659,F2 K2 O5 P2,15,C2/c,Trivial,1,0,0,0,0,1,1,1659,1,https://materialsproject.org/materials/icsd/1659
1691,As1 F7 Xe1,14,P21/c,Trivial,0,0,0,0,0,1,2,1691 260951,2,https://materialsproject.org/materials/icsd/1691
1834,H12 Mg1 O12 S2,2,P-1,Trivial,0,0,0,0,0,1,1,1834,1,https://materialsproject.org/materials/icsd/1834
1836,H12 O12 S2 Zn1,2,P-1,Trivial,0,0,0,0,0,1,1,1836,1,https://materialsproject.org/materials/icsd/1836
1845,Cl8 Mn1 Na6,225,Fm-3m,ESFD (SM),1,0,0,0,0,1,1,1845,1,https://materialsproject.org/materials/icsd/1845
1852,C1 H2 Na2 O4,29,Pca21,Trivial,0,0,0,0,0,1,4,1852 6293 15959 34886,4,https://materialsproject.org/materials/icsd/1852
1858,H6 Cl1 Na1 O5,2,P-1,Trivial,0,0,0,0,0,1,2,1858 1954,2,https://materialsproject.org/materials/icsd/1858
1883,Na2 O7 W2,64,Cmce,Trivial,0,0,0,0,0,1,3,1883 24041 290459,3,https://materialsproject.org/materials/icsd/1883
1900,H3 N1 O4,33,Pna21,Trivial,0,0,0,0,0,1,2,1900 1901,2,https://materialsproject.org/materials/icsd/1900
1904,F2 K3 Na1 O6 P2,164,P-3m1,Trivial,1,0,0,0,0,1,1,1904,1,https://materialsproject.org/materials/icsd/1904
1915,H4 Cu1 Na2 O10 S2,14,P21/c,ESFD (SM),0,0,0,0,0,1,2,1915 422593,2,https://materialsproject.org/materials/icsd/1915
1925,K2 O8 V3,100,P4bm,ESFD (SM),1,0,1,0,0,1,2,1925 245500,2,https://materialsproject.org/materials/icsd/1925
1937,K2 N6 Ni1 O12 Pb1,202,Fm-3,ESFD (SM),1,0,0,0,0,1,1,1937,1,https://materialsproject.org/materials/icsd/1937
1939,H2 B3 Na3 O7,62,Pnma,Trivial,0,0,0,0,0,1,1,1939,1,https://materialsproject.org/materials/icsd/1939
1975,Al4 B2 Co1 O10,14,P21/c,ESFD (SM),0,0,1,0,0,1,1,1975,1,https://materialsproject.org/materials/icsd/1975
2074,C1 H1 K1 O3,14,P21/c,Trivial,1,0,0,0,0,1,4,2074 2075 2076 43015,4,https://materialsproject.org/materials/icsd/2074
2089,Cl1 O12 P3 Sr5,176,P63/m,Trivial,0,0,0,0,0,1,4,2089 80084 80085 253053,4,https://materialsproject.org/materials/icsd/2089
2174,F30 O6 Te7,148,R-3,Trivial,0,0,0,0,0,1,1,2174,1,https://materialsproject.org/materials/icsd/2174
2350,Ba1 Cl1 F1,129,P4/nmm,Trivial,0,0,0,0,0,1,17,2350 35487 35488 35489 35490 35491 35492 35493 85319 155004 183925 201514 201515 201516 201517 201518 201519,17,https://materialsproject.org/materials/icsd/2350
2379,H18 Cr1 F3 O9,146,R3,ESFD (SM),0,0,1,0,0,1,1,2379,1,https://materialsproject.org/materials/icsd/2379
2381,Cs2 Cu1 N6 O12 Pb1,202,Fm-3,ESFD (SM),1,0,0,0,0,1,2,2381 56254,2,https://materialsproject.org/materials/icsd/2381
2537,H8 Al1 Cs1 N4,85,P4/n,Trivial,1,0,0,0,0,1,2,2537 40169,2,https://materialsproject.org/materials/icsd/2537
2538,H8 Al1 K1 N4,20,C2221,Trivial,1,0,1,0,0,1,1,2538,1,https://materialsproject.org/materials/icsd/2538
2618,H8 Cu1 F6 O4 Zr1,14,P21/c,ESFD (SM),0,0,0,0,0,1,1,2618,1,https://materialsproject.org/materials/icsd/2618
2625,Ba2 O4 Ti1,14,P21/c,Trivial,1,0,0,0,0,1,2,2625 15450,2,https://materialsproject.org/materials/icsd/2625
2632,H4 Ca1 O8 P2,2,P-1,Trivial,0,0,0,0,0,1,2,2632 2633,2,https://materialsproject.org/materials/icsd/2632
2767,Cl16 Si6,219,F-43c,Trivial,0,0,1,0,0,1,1,2767,1,https://materialsproject.org/materials/icsd/2767
