material_id,formula,space_group_number,space_group_symbol,topology_soc,high_quality,superconductor,nonzero_magnetisation,is_best_flatband,is_curated_flatband,is_atomic_flatband,n_icsd,icsd_ids,n_icsd_with_cif,materials_project
16,Cu1 N6 O12 Pb1 Tl2,202,Fm-3,ESFD (SM),1,0,0,0,1,0,1,16,1,https://materialsproject.org/materials/icsd/16
175,Ba1 Ni1 O3,194,P63/mmc,Trivial,0,0,0,0,1,0,1,175,1,https://materialsproject.org/materials/icsd/175
179,K2 N6 Ni1 O12 Sr1,202,Fm-3,ESFD (SM),1,0,0,0,1,0,1,179,1,https://materialsproject.org/materials/icsd/179
1036,As1 Na3 S3,198,P213,Trivial,0,0,1,0,1,0,1,1036,1,https://materialsproject.org/materials/icsd/1036
1055,Cl2 Cu2 O1,70,Fddd,SEBR (TI),0,0,0,0,1,0,1,1055,1,https://materialsproject.org/materials/icsd/1055
1076,Cu1 La2 O4,64,Cmce,ESFD (SM),0,0,0,0,1,0,5,1076 173891 173893 173895 186588,5,https://materialsproject.org/materials/icsd/1076
1120,K2 O7 Zn6,102,P42nm,Trivial,0,0,0,0,1,0,1,1120,1,https://materialsproject.org/materials/icsd/1120
1129,Ba1 Br1 F1,129,P4/nmm,Trivial,0,0,0,0,1,0,2,1129 155005,2,https://materialsproject.org/materials/icsd/1129
1144,N3 Na1,166,R-3m,Trivial,0,0,0,0,1,0,1,1144,1,https://materialsproject.org/materials/icsd/1144
1177,Ba3 Ni1 O9 Sb2,186,P63mc,Trivial,1,0,0,0,1,0,1,1177,1,https://materialsproject.org/materials/icsd/1177
1274,Cu1 K2 N6 O12 Pb1,69,Fmmm,ESFD (SM),1,0,0,0,1,0,1,1274,1,https://materialsproject.org/materials/icsd/1274
1322,Be4 O7 Te1,216,F-43m,Trivial,1,0,0,0,1,0,1,1322,1,https://materialsproject.org/materials/icsd/1322
1372,H1 Cr1 O2,160,R3m,ESFD (SM),1,0,1,0,1,0,1,1372,1,https://materialsproject.org/materials/icsd/1372
1413,O3 Pb1 Rb2,36,Cmc21,Trivial,0,0,1,0,1,0,1,1413,1,https://materialsproject.org/materials/icsd/1413
1439,H4 F1 Li1 N1 O3 P1,14,P21/c,Trivial,0,0,0,0,1,0,1,1439,1,https://materialsproject.org/materials/icsd/1439
1449,Ba3 O5 Si1,140,I4/mcm,Trivial,1,0,0,0,1,0,1,1449,1,https://materialsproject.org/materials/icsd/1449
1457,O7 Sc2 Si2,227,Fd-3m,Trivial,1,0,0,0,1,0,1,1457,1,https://materialsproject.org/materials/icsd/1457
1487,H4 N1 O3 V1,57,Pbcm,Trivial,0,0,0,0,1,0,1,1487,1,https://materialsproject.org/materials/icsd/1487
1504,O2 V1,136,P42/mnm,ESFD (SM),1,0,0,0,1,0,2,1504 10141,2,https://materialsproject.org/materials/icsd/1504
1522,O3 Sr1 Zr1,140,I4/mcm,Trivial,1,0,0,1,1,0,2,1522 188451,2,https://materialsproject.org/materials/icsd/1522
1610,O3 Pb1 Ti1,99,P4mm,Trivial,0,0,1,0,1,0,11,1610 1611 1612 16621 161709 162044 162045 162046 162048 165498 186727,11,https://materialsproject.org/materials/icsd/1610
1626,Na1 O6 S2 Tl3,164,P-3m1,Trivial,1,0,0,0,1,0,1,1626,1,https://materialsproject.org/materials/icsd/1626
1668,Cl6 K2 Sn1,225,Fm-3m,Trivial,1,0,0,1,1,0,1,1668,1,https://materialsproject.org/materials/icsd/1668
1830,Ba1 Cu1 K2 N6 O12,69,Fmmm,ESFD (SM),1,0,0,0,1,0,1,1830,1,https://materialsproject.org/materials/icsd/1830
1879,F6 Mo1,229,Im-3m,Trivial,1,0,0,0,1,0,1,1879,1,https://materialsproject.org/materials/icsd/1879
1982,Br4 K2 Pd1,123,P4/mmm,Trivial,1,0,0,0,1,0,1,1982,1,https://materialsproject.org/materials/icsd/1982
10004,Cu4 Na3 S4,55,Pbam,ESFD (SM),1,0,0,0,1,0,1,10004,1,https://materialsproject.org/materials/icsd/10004
10042,Cs1 I3 Mn1,194,P63/mmc,ESFD (SM),0,0,0,0,1,0,5,10042 15949 15950 15951 15952,5,https://materialsproject.org/materials/icsd/10042
10051,In2 Li3,166,R-3m,ESFD (SM),1,0,0,0,1,0,1,10051,1,https://materialsproject.org/materials/icsd/10051
10104,La3 O10 Os2,12,C2/m,ESFD (SM),1,0,0,0,1,0,1,10104,1,https://materialsproject.org/materials/icsd/10104
10137,Cl5 Co1 Tl3,140,I4/mcm,ESFD (SM),0,0,0,0,1,0,1,10137,1,https://materialsproject.org/materials/icsd/10137
10142,O3 Sb1 Tl1,182,P6322,Trivial,0,0,1,1,1,0,1,10142,1,https://materialsproject.org/materials/icsd/10142
10185,Br4 Cs2 Cu1,62,Pnma,ES (SM),1,0,0,0,1,0,2,10185 169179,2,https://materialsproject.org/materials/icsd/10185
10206,Cl3 Cr1 Cs1,186,P63mc,ES (SM),1,0,1,0,1,0,1,10206,1,https://materialsproject.org/materials/icsd/10206
10326,Br1 F4 K1,140,I4/mcm,Trivial,0,0,0,0,1,0,3,10326 16633 16700,3,https://materialsproject.org/materials/icsd/10326
10331,Ba1 Mn1 O3,194,P63/mmc,ESFD (SM),0,0,0,0,1,0,2,10331 10332,2,https://materialsproject.org/materials/icsd/10331
10383,Ge3 O9 Ta1 Tl1,188,P-6c2,Trivial,0,0,1,0,1,0,1,10383,1,https://materialsproject.org/materials/icsd/10383
10416,F2 O1 Pb2,137,P42/nmc,Trivial,1,0,0,0,1,0,1,10416,1,https://materialsproject.org/materials/icsd/10416
10462,Ca1 Co2 P2,139,I4/mmm,SEBR (TI),1,1,0,0,1,0,1,10462,1,https://materialsproject.org/materials/icsd/10462
10474,Cl3 Cs1 Sc1,194,P63/mmc,ESFD (SM),0,0,0,0,1,0,1,10474,1,https://materialsproject.org/materials/icsd/10474
10486,Ba1 Se3 V1,194,P63/mmc,ESFD (SM),0,0,0,1,1,0,1,10486,1,https://materialsproject.org/materials/icsd/10486
10509,Al11 Mn4,2,P-1,ESFD (SM),0,0,1,0,1,0,1,10509,1,https://materialsproject.org/materials/icsd/10509
12134,H2 B1 Na1 O7 Si2,4,P21,Trivial,1,0,0,0,1,0,1,12134,1,https://materialsproject.org/materials/icsd/12134
14005,Ca1 Ge2 O5,2,P-1,Trivial,0,0,0,0,1,0,12,14005 151568 151569 151570 151571 151572 151573 151574 151575 151576 151577 151586,12,https://materialsproject.org/materials/icsd/14005
14077,Br3 Mn1 Rb1,194,P63/mmc,ESFD (SM),0,0,0,0,1,0,1,14077,1,https://materialsproject.org/materials/icsd/14077
14104,Cs1 F4 Mn1,129,P4/nmm,Trivial,0,0,0,0,1,0,1,14104,1,https://materialsproject.org/materials/icsd/14104
14119,Cs1 F7 Sb2,15,C2/c,Trivial,0,0,0,0,1,0,1,14119,1,https://materialsproject.org/materials/icsd/14119
14144,Co1 F2,136,P42/mnm,ESFD (SM),1,0,0,0,1,0,1,14144,1,https://materialsproject.org/materials/icsd/14144
14146,F2 Zn1,136,P42/mnm,Trivial,1,0,0,0,1,0,2,14146 184219,2,https://materialsproject.org/materials/icsd/14146
14158,K3 O4 Pt2,63,Cmcm,ESFD (SM),0,0,0,0,1,0,1,14158,1,https://materialsproject.org/materials/icsd/14158
14218,Cl4 Ga2,52,Pnna,Trivial,1,0,0,0,1,0,1,14218,1,https://materialsproject.org/materials/icsd/14218
14246,O5 Pb2 S1,12,C2/m,Trivial,1,0,0,0,1,0,1,14246,1,https://materialsproject.org/materials/icsd/14246
14266,Bi2 Mo1 O6,29,Pca21,Trivial,0,0,1,0,1,0,2,14266 201685,2,https://materialsproject.org/materials/icsd/14266
14321,Mo3 O8 Zn2,186,P63mc,Trivial,1,0,1,0,1,0,1,14321,1,https://materialsproject.org/materials/icsd/14321
14324,F2 Pb1,62,Pnma,Trivial,0,0,0,0,1,0,11,14324 154994 154995 154996 154997 154998 161080 161391 161392 161393 161394,11,https://materialsproject.org/materials/icsd/14324
