num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
1,B3H7(CO),P1,1,Triv.,,NM,,HQ,1,10171,
2,Re2Cl5O4,P1,1,SM,,FM,,HQ,1,12111,
3,Bi2Pb2V2O10,P1,1,Triv.,b,NM,,HQ,1,60577,
4,NaBi3V2O10,P1,1,Triv.,,NM,,HQ,1,88455,
5,SiO2,P1,1,Triv.,,NM,,,10,39830 56608 170536 75656 75660 75661 75666 75667 75663 75670,"39830(b,s) 56608(b,s) 75656(b,s) 75660(b,s) 75661(b,s) 75666(b,s) 75667(b,s) 75670(b,s)"
6,S3N2NH2BF4,P1,1,Triv.,,NM,,HQ,1,201705,
7,NbCl3OS2(CH3)2(C2H4),P1,1,Triv.,,,,,1,241969,
8,Li6Cu(B4O10),P1,1,SM,,FM,,HQ,1,249215,
9,CsB3O5,P1,1,Triv.,"b,s",,,,1,673574,
10,Ca(HPO4),P1,1,Triv.,,NM,,HQ,3,918 10504 87196,
11,Ca((VO)(PO4))2(H2O)4,P1,1,Triv.,,FM,,HQ,2,43608 67660,
12,LiH(C2O4)(H2O),P1,1,Triv.,,NM,,HQ,1,246786,
13,(Cu(NH3)2)(Sn(OH)6),P1̄,2,SM,,FM,,,1,103,
14,(F2(ZrF3(H2O)3)2),P1̄,2,Triv.,,NM,,,1,1309,
15,Tl2(Cu(SO3)2),P1̄,2,SM,b,FM,,,1,2896,
16,K3N(SO3)2H2O,P1̄,2,Triv.,,NM,,,2,8001 201190,
17,(S4N3)BiCl4,P1̄,2,Triv.,,NM,,,1,9460,
18,(Re2O3Cl6)(ReO3Cl)2,P1̄,2,Triv.,,NM,,,1,10302,
19,K3(ReO2(CN)4),P1̄,2,Triv.,,NM,,,3,16121 26223 30430,
20,CsKNi(CN)4,P1̄,2,Triv.,,,,,1,16399,
21,K4((SO3)2(NO))2,P1̄,2,Triv.,,NM,,,1,16879,
22,Al2(Si4O10)O,P1̄,2,Triv.,"k∗,b",NM,,,1,30119,
23,Na2(B2(O2)2(OH)4)(H2O)6,P1̄,2,Triv.,,NM,,,1,30532,
24,S3N2AsF6,P1̄,2,TI,,FM,,HQ,1,31787,
25,H3OH3F4,P1̄,2,Triv.,,NM,,,1,32569,
26,(I3Cl2)(SbCl6),P1̄,2,Triv.,,NM,,HQ,2,32662 26402,
27,((CO)4MnPH2)2,P1̄,2,Triv.,,,,HQ,1,33267,
28,Na2Mg(SO3)2(H2O)2,P1̄,2,Triv.,,NM,,HQ,1,35767,
29,CsH3P2O7(H2O),P1̄,2,Triv.,b,NM,,,1,38033,
30,(PtCl2(NH3)4)(NO3)2,P1̄,2,Triv.,,NM,,HQ,1,38066,
31,(PdCl2(SCl2)2),P1̄,2,Triv.,,NM,,,1,39434,
32,(ClF2)(BiF6),P1̄,2,Triv.,,NM,,HQ,1,39555,
33,MgF2,P1̄,2,Triv.,,NM,,,1,51243,
34,MgCl2,P1̄,2,Triv.,,NM,,,1,51247,
35,SbF4(PO2F2),P1̄,2,Triv.,,NM,,HQ,1,51535,
36,PbCuAsO4,P1̄,2,Triv.,b,NM,,HQ,1,61677,
37,Na4Cu(AsO4)2,P1̄,2,SM,"b,s",FM,,HQ,1,63058,
38,I4(SbF6)2,P1̄,2,Triv.,,NM,,HQ,1,63301,
39,((SCl2)2Pt)Cl2,P1̄,2,Triv.,,NM,,HQ,1,66013,
40,(CN4H8)(SO4),P1̄,2,Triv.,,NM,,,1,74825,
41,Na7AlH2(CO3)4F4,P1̄,2,Triv.,,NM,,HQ,1,77052,
42,K((CH3)CO3),P1̄,2,Triv.,,NM,,HQ,1,77115,
43,ReF7,P1̄,2,Triv.,,NM,,HQ,1,78311,
44,Ca((HSO4)2(H2SO4)2),P1̄,2,Triv.,,NM,,HQ,1,85073,
45,(Mg(H2O)6)(CoCl4(H2O)2),P1̄,2,SM,,AFM,,HQ,1,96559,
46,Na2(HPO4)(H2O),P1̄,2,Triv.,,NM,,HQ,1,108838,
47,(CH3)2NOSiH2Cl,P1̄,2,Triv.,,NM,,,1,110528,
48,C3F6,P1̄,2,Triv.,,NM,,HQ,1,151184,
49,AgSc(CrO4)2(H2O)2,P1̄,2,Triv.,,NM,,HQ,1,156676,
50,Cu(O2N2CN)2(N2C4H4),P1̄,2,SM,,,,HQ,1,168724,
51,Cu(NH3)4(ReO4)2,P1̄,2,SM,,,,HQ,1,169583,
52,Ca2CuTe4O10Cl2,P1̄,2,SM,"b,s",FM,,HQ,1,171007,
53,(NH4)(HSeO3),P1̄,2,Triv.,,NM,,HQ,1,171372,
54,Na2S2O8,P1̄,2,Triv.,,NM,,HQ,1,171374,
55,Cu(SO3CF3)2,P1̄,2,SM,b,FM,,HQ,1,172335,
56,((C2(NH2)2)(NH)2N)2(SiF6),P1̄,2,Triv.,,NM,,,1,180801,
57,(Cd(NCS)2(CS(NH2)2)2)(H2O)2,P1̄,2,Triv.,,,,HQ,1,187240,
58,Tl4Cu(TeO6),P1̄,2,TI,b,FM,,HQ,1,187561,
59,Y2Cu(TeO3)2(SO4)2,P1̄,2,SM,"b,s",FM,,HQ,1,194348,
60,((CH3)2NH2)(H(C2O4))(H2C2O4)0.5,P1̄,2,Triv.,,NM,,,1,195083,
61,(XeF3)(BiF6),P1̄,2,Triv.,,NM,,,1,200043,
62,Al4Si8O22,P1̄,2,Triv.,"k∗,b",NM,,,1,201706,
63,Ca2Cu(OH)4(B(OH)4)2,P1̄,2,SM,,FM,,HQ,1,202148,
64,Fe(H2O)2(C4S4)(H2O)4,P1̄,2,Triv.,,,,HQ,1,203234,
65,Li3CuB3O7,P1̄,2,Triv.,,NM,,HQ,1,237524,
66,K3Zn2Cl7,P1̄,2,Triv.,,NM,,,1,239665,
67,Sn(SO4),P1̄,2,Triv.,,NM,,,2,245906 245907,
68,Tl4(IO3)6,P1̄,2,Triv.,,NM,,HQ,1,247060,
69,(In2(SeO3)2(C2O4)(H2O)2)(H2O)2,P1̄,2,Triv.,,NM,,HQ,1,249780,
70,Fe(NCS)2(OC(CH3)2)2,P1̄,2,Triv.,,FM,,HQ,1,250699,
71,Hg(CH3SO3)2(H2O)2,P1̄,2,Triv.,,NM,,HQ,1,251311,
72,(C2H10N2)Cu(H2O)2(V2O2F8),P1̄,2,SM,,FM,,,1,251432,
73,Na4NiTeO6,P1̄,2,Triv.,b,,,,1,253698,
74,K3(TcO2(CN)4),P1̄,2,Triv.,,NM,,HQ,1,260824,
75,(C2H8N)2(Sn(CH3)2Cl4),P1̄,2,Triv.,,NM,,,1,261582,
76,((Cu(H2O)2)Cl2(CdCl2))(H2O)2,P1̄,2,SM,,FM,,HQ,1,280299,
77,((N2H5)2((N4C)2N2))(N2H4)2,P1̄,2,Triv.,,NM,,,1,280661,
78,Te4(HfCl6),P1̄,2,Triv.,,NM,,HQ,1,401589,
79,(CF3)2O3,P1̄,2,Triv.,,NM,,HQ,1,401780,
80,(Li(NH3)4)2Te2,P1̄,2,Triv.,,NM,,,1,409556,
81,(SeCl3)(MoOCl4),P1̄,2,TI,b,FM,,HQ,1,410101,
82,Ni((NH2)SO3)2(H2O)4,P1̄,2,Triv.,,AFM,,,1,410198,
83,(Cu(C2N2H8)2)(Ni(CN)4),P1̄,2,SM,,FM,,,1,411632,
84,PbF(AsF6),P1̄,2,Triv.,,NM,,HQ,1,411788,
85,AuXe2(SbF6)2,P1̄,2,SM,,FM,,HQ,1,412106,
