num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
1,Al2O3,P1,1,Triv.,no,,,,NM,,HQ,1,173014,
2,AgBrO2,P1,1,Triv.,yes,Fig. 26,26,,,,,1,670051,
3,LiNa5N2,P1,1,Triv.,no,,,,,,,1,92316,
4,AgHO2,P1,1,Triv.,yes,Fig. 26,26,,,,,1,670060,
5,CaNi5H,P1,1,SM,no,,,,FM,,,2,189752 189753,189752(k)
6,Na4Sn2Ge4O12(OH)4,P1̄,2,Triv.,no,,,,NM,,,1,15017,
7,NaI(H2O)2,P1̄,2,Triv.,no,,,,NM,,,1,23134,
8,(S2N3)VCl2,P1̄,2,Triv.,no,,,b,NM,,HQ,2,30742 61351,
9,Cu(SeO4)(H2O),P1̄,2,TI,no,,,,FM,,HQ,1,39887,
10,Na6Li2(W2O10),P1̄,2,Triv.,no,,,b,NM,,HQ,1,49027,
11,K2Cu3(SeO3)4,P1̄,2,SM,no,,,"b,s",FM,,HQ,1,50541,
12,Cu(F(AuF4)),P1̄,2,SM,yes,Fig. 26,26,"b,s",FM,,,1,62544,
13,K3Cu2((P2O7)H(P2O7)),P1̄,2,TI,no,,,b,FM,,HQ,1,62742,
14,((NO)(HF2))(IF5),P1̄,2,Triv.,no,,,,,,,1,71582,
15,Cu3Bi4V2O14,P1̄,2,SM,yes,Fig. 26,26,"b,s",FM,,HQ,1,75222,
16,Ca(SnF3)2,P1̄,2,Triv.,no,,,b,NM,,HQ,1,92907,
17,K2Cu(Fe(CN)6),P1̄,2,SM,no,,,,FM,,HQ,1,99499,
18,Na2(Cu2Si4O11)(H2O)2,P1̄,2,Triv.,yes,Fig. 26,26,"b,s",FM,,HQ,2,154123 414048,
19,(CH3)2SeO,P1̄,2,Triv.,no,,,,NM,,HQ,1,171011,
20,Cd(HCO(NH2))2I2,P1̄,2,Triv.,no,,,,NM,,HQ,1,192774,
21,RbSbBrF3,P1̄,2,Triv.,no,,,,NM,,,1,200109,
22,Na2Cu2(Si4O11),P1̄,2,Triv.,no,,,"b,s",FM,,HQ,1,240930,
23,Ti2P2O9,P1̄,2,Triv.,no,,,b,,,,1,243672,
24,Pb2(HgO2)(CrO4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,280778,
25,Rb(VO2(IO3)2),P1̄,2,Triv.,no,,,,NM,,HQ,1,281304,
26,K2Cu3(Ge5O14),P1̄,2,SM,no,,,b,FM,,HQ,1,410828,
27,(Hg2)((H4TeO6)(H6TeO6))(H2O)2,P1̄,2,Triv.,no,,,,NM,,,1,412799,
28,W2NCl8,P1̄,2,SM,no,,,"b,s",FM,,HQ,1,415768,
29,Na2(SO4)(BF3),P1̄,2,Triv.,no,,,,NM,,HQ,1,424150,
30,SrHg(As2O7),P1̄,2,Triv.,no,,,b,NM,,,1,430291,
31,BaHg(As2O7),P1̄,2,Triv.,no,,,b,NM,,,1,430292,
32,Nb2Se9,P1̄,2,Triv.,no,,,,NM,,,3,645386 8179 62538,
33,NaAlSi3O8,P1̄,2,Triv.,no,,,"b,s",,,,14,670020 34870 34871 34872 68913 77421 77422 77423 77424 77425 109006 171090 171091 171092,
34,Ag(SbF6)2,P1̄,2,SM,no,,,"b,s",FM,,,1,65186,
35,Al(OH)3,P1̄,2,Triv.,no,,,,NM,,,2,164050 164049,
36,BaCu(P2O7),P1̄,2,TI,no,,,b,FM,,HQ,1,66534,
37,BaCu(P2O7),P1̄,2,TI,no,,,b,,,HQ,1,192060,
38,Bi2Pb2V2O10,P1̄,2,Triv.,no,,,b,NM,,HQ,1,56791,
39,PbBiO(VO4),P1̄,2,Triv.,no,,,b,NM,,,2,419126 419121,
40,CaCl2(H2O)4,P1̄,2,Triv.,no,,,,NM,,,1,8061,
41,Ca(Ge2O5),P1̄,2,Triv.,no,,,"b,s",NM,,,12,14005 151568 151569 151570 151571 151572 151573 151574 151575 151576 151577 151586,
42,(Zn(H2O)6)(SnF3)2,P1̄,2,Triv.,no,,,,,,HQ,1,166589,
43,Mg2B2O5,P1̄,2,Triv.,no,,,b,NM,,,2,24789 79721,
44,Cs2(Sn2S4(S2)),P1̄,2,Triv.,no,,,,NM,,HQ,1,73008,
45,V2Te2O7F2,P1̄,2,Triv.,no,,,b,FM,,HQ,1,173748,
46,Na2Pd(SeO4)2,P1̄,2,Triv.,no,,,b,NM,,HQ,1,249506,
47,Ag(PdF6),P1̄,2,TI,no,,,"b,s",FM,,HQ,1,51507,
48,K2Co(SeO4)2(H2O)2,P1̄,2,SM,no,,,,AFM,,HQ,1,98686,
49,Na(BSi3O8),P1̄,2,Triv.,no,,,"b,s",NM,,,1,16907,
50,PbBiO(PO4),P1̄,2,Triv.,no,,,,NM,,HQ,1,419125,
51,LiFe(SO4)F,P1̄,2,Triv.,no,,,b,AFM,,,3,180389 182944 194597,
52,InAsO4(H2O),P1̄,2,Triv.,no,,,,NM,,HQ,1,170760,
53,Al11Mn4,P1̄,2,SM,no,,,,FM,,,2,10509 57975,
54,Na2Cu(C2O4)2(H2O)2,P1̄,2,SM,no,,,,FM,,HQ,1,40090,
55,Sc(PS4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,67559,
56,Au4Cl8,P1̄,2,Triv.,no,,,,NM,,HQ,1,201436,
57,NaYP2S6,P1̄,2,Triv.,no,,,,,,,1,431533,
58,NaZnP2O6OH,P1̄,2,Triv.,no,,,,NM,,HQ,1,39491,
59,PbPt2O4,P1̄,2,TI,no,,,"k∗,b",NM,,HQ,2,59657 82204,
60,Sr2MgMoO6,P1̄,2,Triv.,no,,,"b,s",,,HQ,1,173119,
61,Sr(OH)Cl(H2O)4,P1̄,2,Triv.,no,,,,NM,,,1,71446,
62,YBr(MoO4),P1̄,2,Triv.,no,,,b,,,,1,242056,
63,YBr(WO4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,428802,
64,As2O3,P2,3,Triv.,no,,,,,,HQ,6,238656 238657 238658 238659 238660 238661,
65,Na2(ZnSi3O8),P21,4,Triv.,no,,,"b,s",NM,,HQ,3,924 20114 200440,
66,CaCuO2,P21,4,Triv.,no,,,"b,s",NM,,,1,84868,
67,BaCu2Cl2(Te2O6),P21,4,Triv.,no,,,b,FM,,HQ,1,85786,
