num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
1,Al2O3,P1,1,Triv.,no,,,,NM,,HQ,1,173014,,173014,matched,173014,1,Al2 O3,1
2,AgBrO2,P1,1,Triv.,yes,Fig. 26,26,,,,,1,670051,,670051,matched,670051,1,Ag1 Br1 O2,1
3,LiNa5N2,P1,1,Triv.,no,,,,,,,1,92316,,92316,matched,92316,1,Li1 N2 Na5,1
4,AgHO2,P1,1,Triv.,yes,Fig. 26,26,,,,,1,670060,,670060,matched,670060,1,H1 Ag1 O2,1
5,CaNi5H,P1,1,SM,no,,,,FM,,,2,189752 189753,189752(k),189752,matched,189752 189753,2,H1 Ca1 Ni5,1
6,Na4Sn2Ge4O12(OH)4,P1̄,2,Triv.,no,,,,NM,,,1,15017,,15017,matched,15017,1,H4 Ge4 Na4 O16 Sn2,2
7,NaI(H2O)2,P1̄,2,Triv.,no,,,,NM,,,1,23134,,23134,matched,23134,1,H4 I1 Na1 O2,2
8,(S2N3)VCl2,P1̄,2,Triv.,no,,,b,NM,,HQ,2,30742 61351,,30742,matched,30742 61351,2,Cl2 N3 S2 V1,2
9,Cu(SeO4)(H2O),P1̄,2,TI,no,,,,FM,,HQ,1,39887,,39887,matched,39887,1,H2 Cu1 O5 Se1,2
10,Na6Li2(W2O10),P1̄,2,Triv.,no,,,b,NM,,HQ,1,49027,,49027,matched,49027,1,Li2 Na6 O10 W2,2
11,K2Cu3(SeO3)4,P1̄,2,SM,no,,,"b,s",FM,,HQ,1,50541,,50541,matched,50541,1,Cu3 K2 O12 Se4,2
12,Cu(F(AuF4)),P1̄,2,SM,yes,Fig. 26,26,"b,s",FM,,,1,62544,,62544,matched,62544,1,Au1 Cu1 F5,2
13,K3Cu2((P2O7)H(P2O7)),P1̄,2,TI,no,,,b,FM,,HQ,1,62742,,62742,matched,62742,1,H1 Cu2 K3 O14 P4,2
14,((NO)(HF2))(IF5),P1̄,2,Triv.,no,,,,,,,1,71582,,71582,matched,71582,1,H1 F7 I1 N1 O1,2
15,Cu3Bi4V2O14,P1̄,2,SM,yes,Fig. 26,26,"b,s",FM,,HQ,1,75222,,75222,matched,75222,1,Bi4 Cu3 O14 V2,2
16,Ca(SnF3)2,P1̄,2,Triv.,no,,,b,NM,,HQ,1,92907,,92907,matched,92907,1,Ca1 F6 Sn2,2
17,K2Cu(Fe(CN)6),P1̄,2,SM,no,,,,FM,,HQ,1,99499,,99499,matched,99499,1,C6 Cu1 Fe1 K2 N6,2
18,Na2(Cu2Si4O11)(H2O)2,P1̄,2,Triv.,yes,Fig. 26,26,"b,s",FM,,HQ,2,154123 414048,,154123,matched,154123 414048,2,H4 Cu2 Na2 O13 Si4,2
19,(CH3)2SeO,P1̄,2,Triv.,no,,,,NM,,HQ,1,171011,,171011,matched,171011,1,C2 H6 O1 Se1,2
20,Cd(HCO(NH2))2I2,P1̄,2,Triv.,no,,,,NM,,HQ,1,192774,,192774,matched,192774,1,C2 H6 Cd1 I2 N2 O2,2
21,RbSbBrF3,P1̄,2,Triv.,no,,,,NM,,,1,200109,,200109,matched,200109,1,Br1 F3 Rb1 Sb1,2
22,Na2Cu2(Si4O11),P1̄,2,Triv.,no,,,"b,s",FM,,HQ,1,240930,,240930,matched,240930,1,Cu2 Na2 O11 Si4,2
23,Ti2P2O9,P1̄,2,Triv.,no,,,b,,,,1,243672,,243672,matched,243672,1,O9 P2 Ti2,2
24,Pb2(HgO2)(CrO4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,280778,,280778,matched,280778,1,Cr1 Hg1 O6 Pb2,2
