jid,formula,spg,dim,band,W_band,M_trg,d_iso,nphi,gap_mean,unif_gap
JVASP-12648,MnSnB2O6,148,3,37,0.29901345631786835,0.3195509112781975,0.0977436873062354,4.019704281010033,0.19492686173142454,0.09297267517371441
JVASP-12648,MnSnB2O6,148,3,38,0.2528914699942604,0.3336258511127329,0.0977436873062354,3.4137367809949763,0.19492686173142454,0.09297267517371441
JVASP-12648,MnSnB2O6,148,3,39,0.4471955676069168,0.5838917068508473,0.0977436873062354,3.5163770544766555,0.14659788523110515,0.011834528137023445
JVASP-12648,MnSnB2O6,148,3,40,0.19363458704507686,0.5612144474573116,0.0977436873062354,2.0154491420100062,0.14659788523110515,0.011834528137023445
JVASP-13546,VBr2,164,2,19,0.22610998441583785,1.6186529716840694,0.13030321303144832,5.22091263286844,0.15042194081720284,0.03429436703029533
JVASP-13546,VBr2,164,2,20,0.29756966137238217,1.5963943939844474,0.13030321303144832,5.684293528201122,0.15042194081720284,0.03429436703029533
JVASP-13576,FeBr2,164,2,24,0.25826046742531594,1.75031677242796,0.6289354318503233,5.599938735159011,0.15751248177304486,0.03419970942344128
JVASP-13576,FeBr2,164,2,25,0.26043711536811975,1.705407445531602,0.6289354318503233,6.165087952143633,0.15751248177304486,0.03419970942344128
JVASP-13600,ZrFeCl6,149,2,1,0.21155936061836833,0.515769719936971,0.1213327672178579,13.827504622939703,0.20442455323053813,0.8128552145263341
JVASP-13600,ZrFeCl6,149,2,39,0.08670884457200057,1.6275348670941778,0.8389613166674268,11.882855409946167,0.03866653802213764,0.013877092526649138
JVASP-13600,ZrFeCl6,149,2,40,0.04960086045470735,1.5934662168833995,0.8389613166674268,12.505886523200733,0.03866653802213764,0.013877092526649138
JVASP-13600,ZrFeCl6,149,2,41,0.09029254846631174,0.4925888058101876,0.12036212396180579,5.098009346732136,0.09812163851199544,0.15929939397189133
JVASP-13600,ZrFeCl6,149,2,42,0.0823892135951505,0.4889050657894357,0.12036212396180579,4.809033992020442,0.09812163851199544,0.15929939397189133
JVASP-13600,ZrFeCl6,149,2,50,0.08242302996724371,0.945055460688755,0.05783097611799359,11.97137818177001,0.03042829352902518,0.035539411457722825
JVASP-13600,ZrFeCl6,149,2,51,0.0708262375132811,0.9388249463936498,0.05783097611799359,10.396802376202379,0.03042829352902518,0.035539411457722825
JVASP-13611,PI2,2,2,1,0.1941272990870857,7.723456975626675,0.7002904446183038,18.354797690696902,0.0006586891858683708,0.018460635656123842
JVASP-13611,PI2,2,2,2,0.1858077078666618,7.013349876718908,0.24272457149671745,15.609508269428172,0.0004264036171876651,0.021044528979109075
JVASP-13611,PI2,2,2,3,0.1861952206087487,7.013226689578172,0.24272457149671745,15.619553247750597,0.0004264036171876651,0.021044528979109075
JVASP-13611,PI2,2,2,8,0.222394098150426,9.28020111441673,1.6288403652272674,19.709465038635845,0.0006576175111594906,0.01021188121436384
JVASP-13611,PI2,2,2,9,0.22216310388043858,9.280394548719116,1.6288403652272674,19.709703191849115,0.0006576175111594906,0.01021188121436384
JVASP-13611,PI2,2,2,10,0.45784788165543233,9.733554586489642,1.7829627801608314,16.42042605374947,0.0003935029885087171,0.02911286421821796
JVASP-13611,PI2,2,2,11,0.45776298244543945,9.733570897557719,1.7829627801608314,16.41857264196564,0.0003935029885087171,0.02911286421821796
JVASP-13611,PI2,2,2,46,0.37395267860167536,5.6761944653975505,0.16556121909775795,14.252027977128096,0.0008329727138654889,0.009601971836836221
JVASP-13616,AsCl5,25,2,1,0.06523092136479036,0.1409603798464417,4.16953647588395,4.339401770367394,0.02190909107514095,0.11747215741367203
JVASP-13616,AsCl5,25,2,6,0.016303767182655804,1.064027459972026,0.062337596435716236,7.933976290258933,0.0026274091519504304,0.026796560068900896
JVASP-13616,AsCl5,25,2,7,0.014680657619651427,1.0635137215113863,0.062337596435716236,8.268511066203038,0.0026274091519504304,0.026796560068900896
JVASP-13616,AsCl5,25,2,30,0.3587289665869724,0.2552424100990605,1.6649112164630608,10.123517255505009,0.014599355691661344,0.1039451205104043
JVASP-13616,AsCl5,25,2,31,0.3650828491323397,0.2553629235571269,1.6649112164630608,10.146545331188781,0.014599355691661344,0.1039451205104043
JVASP-13616,AsCl5,25,2,36,0.057228068589684544,1.0964121699974263,0.7533472272809164,4.096515088763133,0.0017169129275784716,0.022602039657029643
JVASP-13624,Ni2SbTe2,187,2,4,0.36946970328759576,4.605589213074835,0.8227477316483469,11.227340774373207,0.0008900548653868135,0.0014105454139967414
JVASP-13624,Ni2SbTe2,187,2,5,0.3702154313129249,4.605733956092656,0.8227477316483469,11.201460634957677,0.0008900548653868135,0.0014105454139967414
JVASP-14458,TeO3,187,2,20,0.4687622036939145,2.5863254727925735,0.12474966527422415,13.034384475755665,0.11885487301810288,3.4788286568819374e-05
JVASP-14458,TeO3,187,2,21,0.3952615866434055,2.6817309744169497,0.12474966527422415,12.362842308813224,0.11885487301810288,3.4788286568819374e-05
JVASP-15858,Tb3AlC,221,3,18,0.21648235654020098,0.38621243779303,1.3584131164401265,1.1653271516626513,0.001521896853131916,0.04630614117447978
