icsd,source,formula,spg,spg_symbol,M,X,priority,dim,motif,n_M_sites,angles_raw,angles_grouped,angle_min,angle_max,spread,d_MX,d_MX_mean,regime
262356,ICSD (local cache),As2 Co2 O6 Sc2 Sr4,129,P4/nmm,Co,As,1,2,2D layer,2,104.45 104.45 104.45 104.45 120.05 120.05,104.45 x4; 120.05 x2,104.45,120.05,15.6,2.353 2.353 2.353 2.353,2.353,SPLIT-A
80203,ICSD (local cache),Co1 La1 O1 P1,129,P4/nmm,Co,P,1,2,2D layer,2,101.32 101.32 101.32 101.32 127.41 127.41,101.32 x4; 127.41 x2,101.32,127.41,26.09,2.213 2.213 2.213 2.213,2.213,SPLIT-A
161910,ICSD (local cache),Co1 La1 O1 P1,129,P4/nmm,Co,P,1,2,2D layer,2,103.10 103.10 103.10 103.10 123.15 123.15,103.10 x4; 123.15 x2,103.1,123.15,20.06,2.240 2.240 2.240 2.240,2.24,SPLIT-A
161911,ICSD (local cache),Co1 La1 O1 P1,129,P4/nmm,Co,P,1,2,2D layer,2,103.73 103.73 103.73 103.73 121.69 121.69,103.73 x4; 121.69 x2,103.73,121.69,17.97,2.272 2.272 2.272 2.272,2.272,SPLIT-A
624599,ICSD (local cache),Co1 P1 Pd1,129,P4/nmm,Co,P,1,2,2D layer,2,103.56 103.56 103.56 103.56 122.08 122.08,103.56 x4; 122.08 x2,103.56,122.08,18.51,2.053 2.053 2.053 2.053,2.053,SPLIT-A
622533,ICSD (local cache),Co2 Cs1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,103.46 103.46 103.46 103.46 122.31 122.31,103.46 x4; 122.31 x2,103.46,122.31,18.85,2.183 2.183 2.183 2.183,2.183,SPLIT-A
262357,ICSD (local cache),Co2 O6 P2 Sc2 Sr4,129,P4/nmm,Co,P,1,2,2D layer,2,101.92 101.92 101.92 101.92 125.94 125.94,101.92 x4; 125.94 x2,101.92,125.94,24.02,2.264 2.264 2.264 2.264,2.264,SPLIT-A
624798,ICSD (local cache),Co2 Rb1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,103.29 103.29 103.29 103.29 122.70 122.70,103.29 x4; 122.70 x2,103.29,122.7,19.41,2.179 2.179 2.179 2.179,2.179,SPLIT-A
67389,ICSD (local cache),Co1 Cs2 S2,72,Ibam,Co,S,1,1,1D chain/ladder,4,96.12 96.12 114.92 114.92 118.17 118.17,96.12 x2; 114.92 x2; 118.17 x2,96.12,118.17,22.05,2.365 2.365 2.365 2.365,2.365,SPLIT-B
67392,ICSD (local cache),Co1 Cs2 Se2,72,Ibam,Co,Se,1,1,1D chain/ladder,4,96.56 96.56 114.27 114.27 118.34 118.34,96.56 x2; 114.27 x2; 118.34 x2,96.56,118.34,21.78,2.473 2.473 2.473 2.473,2.473,SPLIT-B
67387,ICSD (local cache),Co1 K2 S2,72,Ibam,Co,S,1,1,1D chain/ladder,4,98.71 98.71 114.54 114.54 115.67 115.67,98.71 x2; 115.10 x4,98.71,115.67,16.96,2.336 2.336 2.336 2.336,2.336,SPLIT-B
623958,ICSD (local cache),Co1 K2 S2,72,Ibam,Co,S,1,1,1D chain/ladder,4,98.78 98.78 113.79 113.79 116.35 116.35,98.78 x2; 113.79 x2; 116.35 x2,98.78,116.35,17.58,2.331 2.331 2.331 2.331,2.331,SPLIT-B
67390,ICSD (local cache),Co1 K2 Se2,72,Ibam,Co,Se,1,1,1D chain/ladder,4,99.36 99.36 113.41 113.41 116.11 116.11,99.36 x2; 113.41 x2; 116.11 x2,99.36,116.11,16.74,2.469 2.469 2.469 2.469,2.469,SPLIT-B
624264,ICSD (local cache),Co1 Na2 Se2,72,Ibam,Co,Se,1,1,1D chain/ladder,4,97.81 97.81 115.02 115.02 116.18 116.18,97.81 x2; 115.60 x4,97.81,116.18,18.37,2.302 2.302 2.302 2.302,2.302,SPLIT-B
67388,ICSD (local cache),Co1 Rb2 S2,72,Ibam,Co,S,1,1,1D chain/ladder,4,97.31 97.31 114.67 114.67 117.09 117.09,97.31 x2; 114.67 x2; 117.09 x2,97.31,117.09,19.77,2.354 2.354 2.354 2.354,2.354,SPLIT-B
67391,ICSD (local cache),Co1 Rb2 Se2,72,Ibam,Co,Se,1,1,1D chain/ladder,4,98.09 98.09 113.66 113.66 117.26 117.26,98.09 x2; 113.66 x2; 117.26 x2,98.09,117.26,19.17,2.468 2.468 2.468 2.468,2.468,SPLIT-B
623956,ICSD (local cache),Co2 K1 S2,139,I4/mmm,Co,S,1,2,2D layer,4,109.23 109.23 109.23 109.23 109.96 109.96,109.47 x6,109.23,109.96,0.73,2.277 2.277 2.277 2.277,2.277,REGULAR
67370,ICSD (local cache),Co2 K1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,108.73 108.73 108.73 108.73 110.96 110.96,108.73 x4; 110.96 x2,108.73,110.96,2.23,2.345 2.345 2.345 2.345,2.345,REGULAR
182838,ICSD (local cache),Co2 K1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,108.36 108.36 108.36 108.36 111.72 111.72,108.36 x4; 111.72 x2,108.36,111.72,3.36,2.352 2.352 2.352 2.352,2.352,REGULAR
623961,ICSD (local cache),Co2 K1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,108.73 108.73 108.73 108.73 110.96 110.96,108.73 x4; 110.96 x2,108.73,110.96,2.23,2.345 2.345 2.345 2.345,2.345,REGULAR
624795,ICSD (local cache),Co2 Rb1 S2,139,I4/mmm,Co,S,1,2,2D layer,4,107.17 107.17 110.64 110.64 110.64 110.64,107.17 x2; 110.64 x4,107.17,110.64,3.47,2.314 2.314 2.314 2.314,2.314,REGULAR
100438,ICSD (local cache),Co2 S2 Tl1,139,I4/mmm,Co,S,1,2,2D layer,4,108.23 108.23 108.23 108.23 111.99 111.99,108.23 x4; 111.99 x2,108.23,111.99,3.76,2.256 2.256 2.256 2.256,2.256,REGULAR
