jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55
JVASP-39092,Si2OsRu,225,3,40,24,38-39,38,2,0.0850236817815535,0.08905681374982066,0.09221230135594283,1.0820802310867492,1.2657162643925834,0.805691295858727,1.2916094858059044,0.8471581717542425,22.7332924402126,0.04637804305588128,0.4879781146491132,1264.6400607025892,amp,iso,0.5410401155433746,1168.71191652073,amp,adiab,0.5,420.73628994746275,amp,adiab,0.18
JVASP-39092,Si2OsRu,225,3,40,24,38-39,39,2,0.08905681374981,0.08905681374982066,0.09221230135594283,1.0820802310867492,1.2682646247298304,0.8029352180115791,1.2958678100178624,0.8456911548774884,22.73769624041027,0.04637804305588128,0.4879781146491132,1260.3140285438287,amp,iso,0.5410401155433746,1164.7140316740438,amp,adiab,0.5,419.29705140265577,amp,adiab,0.18
JVASP-36507,Ba3BiSb,221,3,52,24,2-3,2,2,0.05824838473841254,0.05839869008202303,0.05921848396123064,1.246757685241894,0.8422446252558389,0.8081970282996962,1.2813127044217527,0.8564823967761688,-5.625814295667963,0.01625841653274892,0.4922691042498877,1461.632205305471,amp,iso,0.623378842620947,1172.3466577403829,amp,adiab,0.5,356.56583032122467,stiff,adiab,0.18
JVASP-36507,Ba3BiSb,221,3,52,24,2-3,3,2,0.05839869008202392,0.05839869008202303,0.05921848396123064,1.246757685241894,0.8422125237982392,0.8082410271145141,1.281235382127355,0.8565043193739987,-5.624762307782638,0.01625841653274892,0.4922691042498877,1461.7117775910413,amp,iso,0.623378842620947,1172.4104811172206,amp,adiab,0.5,356.55224010937843,stiff,adiab,0.18
JVASP-36463,Ca3Sb2,221,3,52,24,2-3,3,2,0.10866969031479456,0.10883642728132603,0.10896454123059751,0.8158944513796547,1.4453907613030075,0.627264498199716,1.6418732391832365,0.7266635427382684,-4.708818380042904,0.05672098376575674,0.4757204967003721,742.3752562122004,amp,iso,0.40794722568982733,742.3752562122004,amp,iso,0.40794722568982733,327.5608649923667,amp,adiab,0.18
JVASP-36463,Ca3Sb2,221,3,52,24,2-3,2,2,0.10883642728131537,0.10883642728132603,0.10896454123059751,0.8158944513796547,1.445513360484986,0.6271249779563612,1.6422371713091017,0.7265826100401027,-4.709497637740443,0.05672098376575674,0.4757204967003721,742.2101322864809,amp,iso,0.40794722568982733,742.2101322864809,amp,iso,0.40794722568982733,327.48800677748545,amp,adiab,0.18
JVASP-36497,Sr3BiSb,221,3,52,24,2-3,3,2,0.10533688531316088,0.10533688531317686,0.10567615492097016,2.1213923609140455,2.537134730558152,0.5228570478661593,1.958067974673333,0.5906495551231506,-5.403080668609335,0.04103207861360393,0.48241744275996523,1608.9508128899708,amp,iso,1.0606961804570227,758.440938382903,amp,adiab,0.5,273.0387378178451,amp,adiab,0.18
JVASP-36497,Sr3BiSb,221,3,52,24,2-3,2,2,0.0868551075327133,0.10533688531317686,0.10567615492097016,2.1213923609140455,2.537557396569321,0.5226391000906504,1.958931058432134,0.5905406577003675,-5.404821233521359,0.04103207861360393,0.48241744275996523,1608.2801376987236,amp,iso,1.0606961804570227,758.1247897987919,amp,adiab,0.5,272.9249243275651,amp,adiab,0.18
JVASP-40117,AgBr,216,3,20,24,0-1,0,2,0.229291270982527,0.23179252060414512,0.23212787844018834,10.118754597883154,1.3738193666415515,0.5188117636150308,1.9621250018172094,0.542121582762489,-13.085839204629409,0.013561632141949585,0.4909116016470666,2257.7189067995378,amp,phys,1.5,752.5729689331791,amp,adiab,0.5,270.92626881594447,amp,adiab,0.18
JVASP-40117,AgBr,216,3,20,24,0-1,1,2,0.23179252060415045,0.23179252060414512,0.23212787844018834,10.118754597883154,1.3738529463029392,0.518709423375046,1.9625303008044204,0.5420683371521944,-13.083583355281016,0.013561632141949585,0.4909116016470666,2257.2735516419557,amp,phys,1.5,752.4245172139852,amp,adiab,0.5,270.87282619703467,amp,adiab,0.18
