icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
16,16,Cu1 N6 O12 Pb1 Tl2,202,1,0,0,Cu1|Pb1,-|3d,"e_g{z2,x2-y2}",1,Pb|Tl,Cu2+
31,31,Cl10 Cs3 O1 Re2,139,0,0,1,Cs2|O1,-,"p{x,y}|{xz,yz}",0,,
179,179,K2 N6 Ni1 O12 Sr1,202,1,0,0,Ni1|Sr1,-|3d,"e_g{z2,x2-y2}",0,,
406,406,Ca1 Co2 Ge2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
604,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
605,605,H8 Cl6 N2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
805,805,C6 H18 Co1 Cr1 N12,148,0,0,1,Cr1|Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
806,805,C6 H18 Co1 Cr1 N12,148,0,0,1,Cr1|Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
849,849,Cs2 O13 V5,107,0,0,1,V2|O4,-|3d,"p{x,y}|{xz,yz}",0,,
1000,1000,C6 Cs2 Fe1 Li1 N6,225,0,0,1,Fe1|Li1,-|3d,"e_g{z2,x2-y2}",0,,
1001,1000,C6 Cs2 Fe1 Li1 N6,225,0,0,1,Fe1|Li1,-|3d,"e_g{z2,x2-y2}",0,,
1140,1140,H12 Ca1 Cl2 O6,150,0,0,1,Ca1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1141,1141,H12 Br2 Ca1 O6,150,0,0,1,Ca1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1144,1144,N3 Na1,166,1,0,0,Na1|N1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1303,1303,Ca1 Cu3 Ge4 O12,204,0,0,1,Ca1,-,"e_g{z2,x2-y2}",1,,Cu2+
1322,1322,Be4 O7 Te1,216,1,0,0,Te1|O2,-,"e_g{z2,x2-y2}",1,Te,
1372,1372,H1 Cr1 O2,160,1,0,0,Cr1|O1|O2|H1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1528,1528,F6 K2 Re1,164,0,0,1,Re1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1610,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1611,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1612,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1626,1626,Na1 O6 S2 Tl3,164,1,0,0,Tl1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Tl,
1640,1640,H12 Cl2 Hg1 O14,164,0,0,1,Hg1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1668,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
1845,1845,Cl8 Mn1 Na6,225,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",0,,
1879,1879,F6 Mo1,229,1,0,0,Mo1,4d,"e_g{z2,x2-y2}",0,,
1904,1904,F2 K3 Na1 O6 P2,164,0,0,1,Na1|K1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1937,1937,K2 N6 Ni1 O12 Pb1,202,0,0,1,Ni1|Pb1,-|3d,"e_g{z2,x2-y2}",1,Pb,
1982,1982,Br4 K2 Pd1,123,1,0,0,Pd1,4d,"p{x,y}|{xz,yz}",0,,
2174,2174,F30 O6 Te7,148,0,0,1,Te1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Te,
2379,2379,H18 Cr1 F3 O9,146,0,0,1,Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
2381,2381,Cs2 Cu1 N6 O12 Pb1,202,0,0,1,Pb1|Cu1,-|3d,"e_g{z2,x2-y2}",1,Pb,Cu2+
2582,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
2583,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
2723,2723,Cl4 K2 Pd1,123,1,0,0,Pd1,4d,"p{x,y}|{xz,yz}",0,,
