icsd,site_label,element,shell,site_sym_order,max_rot_order,orbit_conv,orbit_prim,d_doublets,p_doublets,doublet_kinds,n_phi,verdict,d_multiplets,lone_pair,jt_ions,chem_flag
16,Cu1,Cu,3d,24,3,4,1,x2-y2+z2,,"e_g{z2,x2-y2}",2.0,PASS,3(xz+xy+yz) 2(x2-y2+z2),Pb|Tl,Cu2+,1
16,Pb1,Pb,-,24,3,4,1,x2-y2+z2,,"e_g{z2,x2-y2}",2.0,PASS,3(yz+xy+xz) 2(x2-y2+z2),Pb|Tl,Cu2+,1
16,Tl1,Tl,-,12,3,8,2,x2-y2+z2,,"e_g{z2,x2-y2}",4.0,dilute,3(xy+xz+yz) 2(x2-y2+z2),Pb|Tl,Cu2+,1
16,O1,O,-,2,1,48,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),Pb|Tl,Cu2+,1
16,N1,N,-,4,2,24,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),Pb|Tl,Cu2+,1
19,P1,P,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,C1,C,-,2,2,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
19,O1,O,-,2,2,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
19,O2,O,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,O3,O,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,O4,O,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,O5,O,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,H1,H,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,H2,H,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,Na1,Na,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
19,Na2,Na,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
24,Cs1,Cs,-,8,4,4,2,yz+xz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
24,Cs2,Cs,-,4,2,8,4,,,,,FAIL,1(yz) 1(xz) 1(xy) 1(x2-y2) 1(z2),,,0
24,Mn1,Mn,3d,8,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
24,Cl1,Cl,-,8,4,4,2,yz+xz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
24,Cl2,Cl,-,2,1,16,8,,,,,FAIL,1(xz) 1(yz) 1(xy) 1(x2-y2) 1(z2),,,0
31,Re1,Re,5d,8,4,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
31,Cs1,Cs,-,8,2,4,2,yz+xz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
31,Cs2,Cs,-,16,4,2,1,xz+yz,x+y,"p{x,y}|{xz,yz}",2.0,PASS,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
