icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions,jid,match,jarvis_formula,jarvis_spg,dimensionality,num_wann,hr_bytes,has_wout
1610,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
1611,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
1612,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
16621,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
23591,23591,H2 Mn1 O2,164,1,0,0,Mn1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-27913,composition+spg,MnH2O2,164,2D,28,4743875,True
25519,25519,Cl4 O1 W1,79,1,0,0,W1|O1,-|5d,"p{x,y}|{xz,yz}",0,,,JVASP-13822,icsd,WCl4O,79,3D,42,26020556,True
28624,28624,O3 Pb1 Ti1,123,1,0,0,Pb1|Ti1|O2,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-4957,icsd,TiPbO3,221,3D,38,24766399,True
28779,28779,F6 K2 Rh1,164,1,0,0,Rh1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-16001,icsd,K2RhF6,164,3D,72,24624543,True
28780,28780,F6 Rb2 Rh1,164,1,0,0,Rh1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-18176,icsd,Rb2RhF6,164,3D,72,24624543,True
31152,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
33673,33673,I2 Mn1,164,1,0,0,Mn1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-6031,composition+spg,MnI2,164,2D,28,6782538,True
42600,42600,Pb1 Pd3,221,1,1,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,,JVASP-17852,icsd,Pd3Pb,221,3D,44,33204199,True
44824,44824,Li1 P1 Zn1,216,1,0,0,Li1|Zn1|P1,-|3d,"e_g{z2,x2-y2}",0,,,JVASP-40811,composition+spg,LiZnP,216,3D,28,20817952,True
51838,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
51839,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
51840,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
51841,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
55054,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|O1|Ti1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
